OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,1.7799999714
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,1.7799999714
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,1.7799999714
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,1.7799999714
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,1.7799999714
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.4868407249
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.4868407249
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.4868407249
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.4868407249
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.4868407249
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,1.4674875736
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,1.1387184858
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,1.1387184858
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,1.1387184858
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,1.1387184858
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,1.1007876396
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.1007876396
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.1007876396
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.0856386423
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.0479954481
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.0479954481
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,0.914684236
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,0.914684236
shape,iterativefit,central,0,0.0,0.02,0.56,0.58,0.914684236
shape,iterativefit,central,0,0.0,0.02,0.58,0.6,0.914684236
shape,iterativefit,central,0,0.0,0.02,0.6,0.62,0.914684236
shape,iterativefit,central,0,0.0,0.02,0.62,0.64,1.0855146646
shape,iterativefit,central,0,0.0,0.02,0.64,0.66,1.0855146646
shape,iterativefit,central,0,0.0,0.02,0.66,0.68,1.0855146646
shape,iterativefit,central,0,0.0,0.02,0.68,0.7,1.0855146646
shape,iterativefit,central,0,0.0,0.02,0.7,0.72,1.1937910318
shape,iterativefit,central,0,0.0,0.02,0.72,0.74,1.1937910318
shape,iterativefit,central,0,0.0,0.02,0.74,0.76,1.1937910318
shape,iterativefit,central,0,0.0,0.02,0.76,0.78,1.1937910318
shape,iterativefit,central,0,0.0,0.02,0.78,0.8,1.1937910318
shape,iterativefit,central,0,0.0,0.02,0.8,0.82,0.9205818176
shape,iterativefit,central,0,0.0,0.02,0.82,0.84,0.8885217309
shape,iterativefit,central,0,0.0,0.02,0.84,0.86,0.8318237662
shape,iterativefit,central,0,0.0,0.02,0.86,0.88,0.8318237662
shape,iterativefit,central,0,0.0,0.02,0.88,0.9,0.8318237662
shape,iterativefit,central,0,0.0,0.02,0.9,0.92,0.7997114658
shape,iterativefit,central,0,0.0,0.02,0.92,0.94,0.7997114658
shape,iterativefit,central,0,0.0,0.02,0.94,0.96,0.7997114658
shape,iterativefit,central,0,0.0,0.02,0.96,0.98,0.9975671172
shape,iterativefit,central,0,0.0,0.02,0.98,1.0,0.9975671172
shape,iterativefit,central,0,0.02,0.04,0.0,0.02,1.7799999714
shape,iterativefit,central,0,0.02,0.04,0.02,0.04,1.7799999714
shape,iterativefit,central,0,0.02,0.04,0.04,0.06,1.7799999714
shape,iterativefit,central,0,0.02,0.04,0.06,0.08,1.7799999714
shape,iterativefit,central,0,0.02,0.04,0.08,0.1,1.7799999714
shape,iterativefit,central,0,0.02,0.04,0.1,0.12,1.4868407249
shape,iterativefit,central,0,0.02,0.04,0.12,0.14,1.4868407249
shape,iterativefit,central,0,0.02,0.04,0.14,0.16,1.4868407249
shape,iterativefit,central,0,0.02,0.04,0.16,0.18,1.4868407249
shape,iterativefit,central,0,0.02,0.04,0.18,0.2,1.4868407249
shape,iterativefit,central,0,0.02,0.04,0.2,0.22,1.4674875736
shape,iterativefit,central,0,0.02,0.04,0.22,0.24,1.4674875736
shape,iterativefit,central,0,0.02,0.04,0.24,0.26,1.4674875736
shape,iterativefit,central,0,0.02,0.04,0.26,0.28,1.4674875736
