OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.981896
L,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.986276
L,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.985024
L,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.995366
L,wcharm,central,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.00025
L,wcharm,central,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.000318
L,wcharm,central,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.978904
L,wcharm,down,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.960585
L,wcharm,down,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.973789
L,wcharm,down,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.9659260000000001
L,wcharm,down,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.96749
L,wcharm,down,4,0.0,2.5,100.0,130.0,-1.0,1.0,0.9458250000000001
L,wcharm,down,4,0.0,2.5,130.0,160.0,-1.0,1.0,0.8986740000000001
L,wcharm,down,4,0.0,2.5,160.0,250.0,-1.0,1.0,0.839375
L,wcharm,up,4,0.0,2.5,25.0,30.0,-1.0,1.0,1.003207
L,wcharm,up,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.9987630000000001
L,wcharm,up,4,0.0,2.5,50.0,70.0,-1.0,1.0,1.004122
L,wcharm,up,4,0.0,2.5,70.0,100.0,-1.0,1.0,1.023242
L,wcharm,up,4,0.0,2.5,100.0,130.0,-1.0,1.0,1.054675
L,wcharm,up,4,0.0,2.5,130.0,160.0,-1.0,1.0,1.101962
L,wcharm,up,4,0.0,2.5,160.0,250.0,-1.0,1.0,1.118433
M,wcharm,central,4,0.0,2.5,25.0,30.0,-1.0,1.0,0.901666
M,wcharm,central,4,0.0,2.5,30.0,50.0,-1.0,1.0,0.927927
M,wcharm,central,4,0.0,2.5,50.0,70.0,-1.0,1.0,0.956623
M,wcharm,central,4,0.0,2.5,70.0,100.0,-1.0,1.0,0.989703
