OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,1.0
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,1.0
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,1.0
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,1.0
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,1.0
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.0
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.0
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.0
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.0
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.0
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.0
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.0
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.0
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.0
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.0
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,1.0764307976
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.4045723677
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.4045723677
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.4045723677
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.4045723677
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.4045723677
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,1.4538624287
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,1.4538624287
shape,iterativefit,central,0,0.0,0.02,0.56,0.58,1.4538624287
shape,iterativefit,central,0,0.0,0.02,0.58,0.6,1.2836760283
