OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.05983272297
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.00315267397
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.11651277197
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.10517465802
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.03188426788
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.17846504816
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.904913810854
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.831070866097
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,0.978756755611
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.00187168009
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.943690957233
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.06005240295
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.06804522392
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.01773012251
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.11836032532
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.06255015595
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.999533695612
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.1255666163
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.10995544299
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.04081180667
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.17909907932
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,1.00004393674
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.938073157676
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.0620147158
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.99012074227
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.938249996591
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.04199148795
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.02147282279
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.972545290533
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.07040035504
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.04101157792
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.972194255885
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.10982889996
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x--20.0171)*(x--20.0171)) 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0304923+2.26695e-08*x+-2.44623e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0283238+-7.00791e-10*x+-2.04326e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0112834)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0304923+2.26695e-08*x+-2.44623e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0283238+-7.00791e-10*x+-2.04326e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0112834)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0980535+-7.62933e-06*x+5.48822e-09*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0806985+-6.29088e-06*x+3.63512e-09*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0551195)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0980535+-7.62933e-06*x+5.48822e-09*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0806985+-6.29088e-06*x+3.63512e-09*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0551195)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.210975+2.4705e-05*x+-2.79805e-08*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.146047+3.87896e-05*x+-4.61474e-08*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.152176)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.210975+2.4705e-05*x+-2.79805e-08*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.146047+3.87896e-05*x+-4.61474e-08*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.152176)) 
