OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.06,0.08,0.22,0.24,1.6757971048
shape,iterativefit,central,0,0.06,0.08,0.24,0.26,1.6757971048
shape,iterativefit,central,0,0.06,0.08,0.26,0.28,1.6757971048
shape,iterativefit,central,0,0.06,0.08,0.28,0.3,1.6757971048
shape,iterativefit,central,0,0.06,0.08,0.3,0.32,1.6757971048
shape,iterativefit,central,0,0.06,0.08,0.32,0.34,1.3583030701
shape,iterativefit,central,0,0.06,0.08,0.34,0.36,1.3583030701
shape,iterativefit,central,0,0.06,0.08,0.36,0.38,1.3583030701
shape,iterativefit,central,0,0.06,0.08,0.38,0.4,1.3583030701
shape,iterativefit,central,0,0.06,0.08,0.4,0.42,1.3583030701
shape,iterativefit,central,0,0.06,0.08,0.42,0.44,1.3170571327
shape,iterativefit,central,0,0.06,0.08,0.44,0.46,1.3170571327
shape,iterativefit,central,0,0.06,0.08,0.46,0.48,1.3170571327
shape,iterativefit,central,0,0.06,0.08,0.48,0.5,1.3170571327
shape,iterativefit,central,0,0.06,0.08,0.5,0.52,1.3170571327
shape,iterativefit,central,0,0.06,0.08,0.52,0.54,1.1494889259
shape,iterativefit,central,0,0.06,0.08,0.54,0.56,1.1494889259
shape,iterativefit,central,0,0.06,0.08,0.56,0.58,1.1494889259
shape,iterativefit,central,0,0.06,0.08,0.58,0.6,1.1494889259
shape,iterativefit,central,0,0.06,0.08,0.6,0.62,0.9565122724
shape,iterativefit,central,0,0.06,0.08,0.62,0.64,0.9565122724
shape,iterativefit,central,0,0.06,0.08,0.64,0.66,0.8537390828
shape,iterativefit,central,0,0.06,0.08,0.66,0.68,0.8488543034
shape,iterativefit,central,0,0.06,0.08,0.68,0.7,0.8513821363
shape,iterativefit,central,0,0.06,0.08,0.7,0.72,0.8610825539
shape,iterativefit,central,0,0.06,0.08,0.72,0.74,0.8753474951
shape,iterativefit,central,0,0.06,0.08,0.74,0.76,0.9000070095
shape,iterativefit,central,0,0.06,0.08,0.76,0.78,0.862652719
shape,iterativefit,central,0,0.06,0.08,0.78,0.8,0.8724201918
shape,iterativefit,central,0,0.06,0.08,0.8,0.82,0.8770784736
shape,iterativefit,central,0,0.06,0.08,0.82,0.84,0.8681046963
shape,iterativefit,central,0,0.06,0.08,0.84,0.86,0.8852948546
shape,iterativefit,central,0,0.06,0.08,0.86,0.88,0.9173727036
shape,iterativefit,central,0,0.06,0.08,0.88,0.9,0.9843171239
shape,iterativefit,central,0,0.06,0.08,0.9,0.92,1.036716938
shape,iterativefit,central,0,0.06,0.08,0.92,0.94,1.0968575478
shape,iterativefit,central,0,0.06,0.08,0.94,0.96,1.0968575478
shape,iterativefit,central,0,0.06,0.08,0.96,0.98,1.0968575478
shape,iterativefit,central,0,0.06,0.08,0.98,1.0,1.0968575478
shape,iterativefit,central,0,0.08,0.1,0.0,0.02,1.813939929
shape,iterativefit,central,0,0.08,0.1,0.02,0.04,1.7937194109
shape,iterativefit,central,0,0.08,0.1,0.04,0.06,1.7331348658
shape,iterativefit,central,0,0.08,0.1,0.06,0.08,1.6633173227
shape,iterativefit,central,0,0.08,0.1,0.08,0.1,1.6005741358
shape,iterativefit,central,0,0.08,0.1,0.1,0.12,1.5469568968
shape,iterativefit,central,0,0.08,0.1,0.12,0.14,1.4936854839
shape,iterativefit,central,0,0.08,0.1,0.14,0.16,1.4769753218
shape,iterativefit,central,0,0.08,0.1,0.16,0.18,1.5278083086
shape,iterativefit,central,0,0.08,0.1,0.18,0.2,1.5845977068
shape,iterativefit,central,0,0.08,0.1,0.2,0.22,1.6290875673
shape,iterativefit,central,0,0.08,0.1,0.22,0.24,1.6582049131
shape,iterativefit,central,0,0.08,0.1,0.24,0.26,1.6688767672
shape,iterativefit,central,0,0.08,0.1,0.26,0.28,1.6595038176
shape,iterativefit,central,0,0.08,0.1,0.28,0.3,1.6291623116
shape,iterativefit,central,0,0.08,0.1,0.3,0.32,1.5597417355
shape,iterativefit,central,0,0.08,0.1,0.32,0.34,1.4734158516
shape,iterativefit,central,0,0.08,0.1,0.34,0.36,1.3952587843
shape,iterativefit,central,0,0.08,0.1,0.36,0.38,1.3496546745
shape,iterativefit,central,0,0.08,0.1,0.38,0.4,1.3332891464
shape,iterativefit,central,0,0.08,0.1,0.4,0.42,1.3325521946
shape,iterativefit,central,0,0.08,0.1,0.42,0.44,1.3356592655
shape,iterativefit,central,0,0.08,0.1,0.44,0.46,1.3308264017
shape,iterativefit,central,0,0.08,0.1,0.46,0.48,1.3060972691
shape,iterativefit,central,0,0.08,0.1,0.48,0.5,1.2710893154
shape,iterativefit,central,0,0.08,0.1,0.5,0.52,1.2352503538
shape,iterativefit,central,0,0.08,0.1,0.52,0.54,1.1975179911
shape,iterativefit,central,0,0.08,0.1,0.54,0.56,1.1568295956
shape,iterativefit,central,0,0.08,0.1,0.56,0.58,1.1086668968
shape,iterativefit,central,0,0.08,0.1,0.58,0.6,1.029132843
shape,iterativefit,central,0,0.08,0.1,0.6,0.62,0.9801625609
shape,iterativefit,central,0,0.08,0.1,0.62,0.64,0.9261209369
shape,iterativefit,central,0,0.08,0.1,0.64,0.66,0.8572927117
shape,iterativefit,central,0,0.08,0.1,0.66,0.68,0.8518594503
shape,iterativefit,central,0,0.08,0.1,0.68,0.7,0.8633508682
shape,iterativefit,central,0,0.08,0.1,0.7,0.72,0.8766372204
shape,iterativefit,central,0,0.08,0.1,0.72,0.74,0.8884049058
shape,iterativefit,central,0,0.08,0.1,0.74,0.76,0.9088025093
shape,iterativefit,central,0,0.08,0.1,0.76,0.78,0.8934074044
shape,iterativefit,central,0,0.08,0.1,0.78,0.8,0.9027395248
shape,iterativefit,central,0,0.08,0.1,0.8,0.82,0.9366669655
shape,iterativefit,central,0,0.08,0.1,0.82,0.84,0.9431760907
shape,iterativefit,central,0,0.08,0.1,0.84,0.86,0.9588915706
shape,iterativefit,central,0,0.08,0.1,0.86,0.88,0.9955013394
shape,iterativefit,central,0,0.08,0.1,0.88,0.9,1.0222206116
shape,iterativefit,central,0,0.08,0.1,0.9,0.92,1.0506649017
shape,iterativefit,central,0,0.08,0.1,0.92,0.94,1.1088938713
shape,iterativefit,central,0,0.08,0.1,0.94,0.96,1.0968575478
shape,iterativefit,central,0,0.08,0.1,0.96,0.98,1.0968575478
shape,iterativefit,central,0,0.08,0.1,0.98,1.0,1.0968575478
shape,iterativefit,central,0,0.1,0.12,0.0,0.02,1.813939929
shape,iterativefit,central,0,0.1,0.12,0.02,0.04,1.8008793592
shape,iterativefit,central,0,0.1,0.12,0.04,0.06,1.7647742033
shape,iterativefit,central,0,0.1,0.12,0.06,0.08,1.6807124615
shape,iterativefit,central,0,0.1,0.12,0.08,0.1,1.5979810953
shape,iterativefit,central,0,0.1,0.12,0.1,0.12,1.5201483965
shape,iterativefit,central,0,0.1,0.12,0.12,0.14,1.436344862
shape,iterativefit,central,0,0.1,0.12,0.14,0.16,1.388399601
shape,iterativefit,central,0,0.1,0.12,0.16,0.18,1.4018924236
shape,iterativefit,central,0,0.1,0.12,0.18,0.2,1.4450101852
shape,iterativefit,central,0,0.1,0.12,0.2,0.22,1.474139452
shape,iterativefit,central,0,0.1,0.12,0.22,0.24,1.4870808125
shape,iterativefit,central,0,0.1,0.12,0.24,0.26,1.4913449287
shape,iterativefit,central,0,0.1,0.12,0.26,0.28,1.4874949455
shape,iterativefit,central,0,0.1,0.12,0.28,0.3,1.4668813944
shape,iterativefit,central,0,0.1,0.12,0.3,0.32,1.438154459
shape,iterativefit,central,0,0.1,0.12,0.32,0.34,1.380117774
shape,iterativefit,central,0,0.1,0.12,0.34,0.36,1.3118675947
shape,iterativefit,central,0,0.1,0.12,0.36,0.38,1.2873519659
shape,iterativefit,central,0,0.1,0.12,0.38,0.4,1.2595872879
