OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.999033431434
L,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.946967981588
L,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.05109888128
M,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,1.11645803229
M,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.04687530786
M,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.18604075673
M,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.907487891812
M,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.838315397537
M,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,0.976660386086
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.944696037194
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.891996407819
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,0.997395666569
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.0328892281
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.988009400844
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.07776905535
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.983024681541
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.924975333905
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.04107402918
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.935481483899
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.868926237652
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,1.00203673015
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.937286076799
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.875356434102
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,0.999215719497
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.896071285557
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.847300573812
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,0.944841997302
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.946586415701
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.901238132424
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.991934698977
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.966317180738
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.906764622407
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.02586973907
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1-(0.0290503+-1.19979e-07*x+-1.29346e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1-(0.0283449+-9.91384e-08*x+-1.4748e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1-(0.00636205)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1+(0.0290503+-1.19979e-07*x+-1.29346e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1+(0.0283449+-9.91384e-08*x+-1.4748e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.03463+-9.45928e-05*x+7.76004e-08*x*x+-0.72778/x)*(1+(0.00636205)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1-(0.0866054+-1.43409e-06*x+9.09756e-10*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1-(0.0799658+-1.01104e-06*x+3.13043e-10*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1-(0.0331037)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1+(0.0866054+-1.43409e-06*x+9.09756e-10*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1+(0.0799658+-1.01104e-06*x+3.13043e-10*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.843284+0.000599064*x+-4.27276e-07*x*x+4.27169/x)*(1+(0.0331037)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1-(0.151023+3.02601e-05*x+-2.3112e-08*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1-(0.145123+3.1058e-05*x+-2.44019e-08*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1-(0.0424699)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1+(0.151023+3.02601e-05*x+-2.3112e-08*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1+(0.145123+3.1058e-05*x+-2.44019e-08*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.839135+0.0011679*x+-9.62172e-07*x*x+2.86238/x)*(1+(0.0424699)) 
