OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.0,0.02,0.0,0.02,1.7989088297
shape,iterativefit,central,0,0.0,0.02,0.02,0.04,1.7989088297
shape,iterativefit,central,0,0.0,0.02,0.04,0.06,1.7989088297
shape,iterativefit,central,0,0.0,0.02,0.06,0.08,1.7989088297
shape,iterativefit,central,0,0.0,0.02,0.08,0.1,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.1,0.12,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.12,0.14,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.14,0.16,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.16,0.18,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.18,0.2,1.3248012066
shape,iterativefit,central,0,0.0,0.02,0.2,0.22,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.22,0.24,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.24,0.26,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.26,0.28,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.28,0.3,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.3,0.32,1.1813268661
shape,iterativefit,central,0,0.0,0.02,0.32,0.34,1.6442902088
shape,iterativefit,central,0,0.0,0.02,0.34,0.36,1.6442902088
shape,iterativefit,central,0,0.0,0.02,0.36,0.38,1.6442902088
shape,iterativefit,central,0,0.0,0.02,0.38,0.4,1.6442902088
shape,iterativefit,central,0,0.0,0.02,0.4,0.42,1.6442902088
shape,iterativefit,central,0,0.0,0.02,0.42,0.44,1.4508728981
shape,iterativefit,central,0,0.0,0.02,0.44,0.46,1.4508728981
shape,iterativefit,central,0,0.0,0.02,0.46,0.48,1.4508728981
shape,iterativefit,central,0,0.0,0.02,0.48,0.5,1.4508728981
shape,iterativefit,central,0,0.0,0.02,0.5,0.52,1.4508728981
shape,iterativefit,central,0,0.0,0.02,0.52,0.54,1.197835803
shape,iterativefit,central,0,0.0,0.02,0.54,0.56,1.197835803
shape,iterativefit,central,0,0.0,0.02,0.56,0.58,1.197835803
shape,iterativefit,central,0,0.0,0.02,0.58,0.6,1.197835803
shape,iterativefit,central,0,0.0,0.02,0.6,0.62,0.9997789264
shape,iterativefit,central,0,0.0,0.02,0.62,0.64,0.9997789264
shape,iterativefit,central,0,0.0,0.02,0.64,0.66,0.8932874203
shape,iterativefit,central,0,0.0,0.02,0.66,0.68,0.8453214765
shape,iterativefit,central,0,0.0,0.02,0.68,0.7,0.847468257
shape,iterativefit,central,0,0.0,0.02,0.7,0.72,0.8615258336
shape,iterativefit,central,0,0.0,0.02,0.72,0.74,0.8881991506
shape,iterativefit,central,0,0.0,0.02,0.74,0.76,0.8881991506
shape,iterativefit,central,0,0.0,0.02,0.76,0.78,0.8881991506
shape,iterativefit,central,0,0.0,0.02,0.78,0.8,0.8881991506
shape,iterativefit,central,0,0.0,0.02,0.8,0.82,0.8973000646
shape,iterativefit,central,0,0.0,0.02,0.82,0.84,0.8973000646
shape,iterativefit,central,0,0.0,0.02,0.84,0.86,0.8973000646
shape,iterativefit,central,0,0.0,0.02,0.86,0.88,0.8973000646
shape,iterativefit,central,0,0.0,0.02,0.88,0.9,1.0524610281
shape,iterativefit,central,0,0.0,0.02,0.9,0.92,1.1218230724
shape,iterativefit,central,0,0.0,0.02,0.92,0.94,1.2474486828
shape,iterativefit,central,0,0.0,0.02,0.94,0.96,1.2474486828
shape,iterativefit,central,0,0.0,0.02,0.96,0.98,1.2474486828
shape,iterativefit,central,0,0.0,0.02,0.98,1.0,1.2474486828
shape,iterativefit,central,0,0.02,0.04,0.0,0.02,1.7989088297
shape,iterativefit,central,0,0.02,0.04,0.02,0.04,1.7989088297
shape,iterativefit,central,0,0.02,0.04,0.04,0.06,1.7989088297
shape,iterativefit,central,0,0.02,0.04,0.06,0.08,1.7989088297
shape,iterativefit,central,0,0.02,0.04,0.08,0.1,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.1,0.12,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.12,0.14,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.14,0.16,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.16,0.18,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.18,0.2,1.3248012066
shape,iterativefit,central,0,0.02,0.04,0.2,0.22,1.1813268661
shape,iterativefit,central,0,0.02,0.04,0.22,0.24,1.1813268661
shape,iterativefit,central,0,0.02,0.04,0.24,0.26,1.1813268661
