OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
M,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,1.09180877716
M,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.04267625295
M,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,1.14094130137
M,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,1.04605841679
M,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.00474250924
M,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,1.08737432435
M,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,1.07079914498
M,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.02591350745
M,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.11568478251
T,TnP,central,5,0.0,2.5,30.0,50.0,0.0,1.0,0.959236565813
T,TnP,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.919053322649
T,TnP,up,5,0.0,2.5,30.0,50.0,0.0,1.0,0.999419808976
T,TnP,central,5,0.0,2.5,50.0,70.0,0.0,1.0,0.978315605623
T,TnP,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.942678489704
T,TnP,up,5,0.0,2.5,50.0,70.0,0.0,1.0,1.01395272154
T,TnP,central,5,0.0,2.5,70.0,100.0,0.0,1.0,0.961681910705
T,TnP,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932656036143
T,TnP,up,5,0.0,2.5,70.0,100.0,0.0,1.0,0.990707785268
T,TnP,central,5,0.0,2.5,100.0,140.0,0.0,1.0,0.936595258212
T,TnP,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.910479642386
T,TnP,up,5,0.0,2.5,100.0,140.0,0.0,1.0,0.962710874038
T,TnP,central,5,0.0,2.5,140.0,200.0,0.0,1.0,0.994686007292
T,TnP,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.962348803747
T,TnP,up,5,0.0,2.5,140.0,200.0,0.0,1.0,1.02702321084
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.00457775)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.00457775)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0310689)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0310689)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.108618)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.108618)) 
